n_blemishes,blemish_area,area_ratio,mean_darkness,max_darkness,mean_brightness,mean_aspect_ratio,mean_solidity,skeleton_length,blemish_dispersion,gran_small,gran_medium,gran_large,gran_coalesced,dark_lesion_peak,pale_patch_energy,max_lesion_ratio,consolidated_ratio,n_large_lesions,n_lesions_split,label,image
167,8729,7.9500537350407114,158.53969526864475,227.0,96.46030473135525,1.5972171438941363,0.6942991275087854,2409,102.99310540149791,0.007746060591124736,0.008526531252221102,0.007637661888194685,0.0062229427372690466,14.0,0.015258715737884435,2.104774221752673,3.474562378185395,2,17,unripe,IMG20200713141604.jpg
218,8534,7.940894583554327,136.534216076869,207.0,118.465783923131,1.4771668507115232,0.7099729078101037,2527,106.25678502758274,0.007937756423694639,0.009879365121068202,0.008546158043933872,0.006756202746291268,15.0,0.015510683518585113,1.558588988452484,2.650066530813537,2,7,unripe,IMG20200713141623.jpg
223,7908,6.648898156166711,153.39415781487102,221.0,101.60584218512898,1.5460906426954357,0.7088353514374389,2579,114.45880616921596,0.0073972264439882245,0.008926689974441897,0.008052244498529211,0.007291255034177758,14.0,0.015226053931666246,0.5927507840285193,0.0,0,0,unripe,IMG20200713141640.jpg
258,11567,8.502583779889886,140.4742802801072,231.0,114.5257197198928,1.5749366991885814,0.6717155013770525,3361,128.64895038334487,0.008151406489191335,0.01035662403390212,0.009870726688364279,0.008369045606349063,15.0,0.017822279932621234,1.0305716658948405,1.0305716658948405,1,5,unripe,IMG20200713141737.jpg
277,10125,7.327452073035701,162.56582716049382,224.0,92.43417283950618,1.5189689491532217,0.7209494648816756,2875,125.60029802198922,0.006864327302650484,0.008919547236896044,0.008805685265588298,0.008260158143834174,13.0,0.01606506706489976,0.8655439683309331,0.0,0,0,unripe,IMG20200713141824.jpg
302,14271,8.694354244216862,142.28554411043373,232.0,112.71445588956625,1.51568682923963,0.6952546939663355,3981,128.0974359269328,0.00849910126289079,0.010901411758494099,0.010953734062453004,0.009075912853977405,16.0,0.018767150337389266,1.5645085627600661,1.5645085627600661,1,8,unripe,IMG20200713141846.jpg
271,7431,5.709478148626221,160.0251648499529,236.0,94.9748351500471,1.5920261153634414,0.7217532200092086,2693,121.81525281738065,0.007187373074498716,0.008831152474512455,0.008114283269396026,0.007160556766809,13.0,0.01524341373404731,0.714549142541029,0.0,0,0,unripe,IMG20200713142056.jpg
334,11688,8.605190502484815,147.00735797399042,221.0,107.99264202600958,1.5440417995533693,0.7101244140504448,3715,127.59286549994546,0.00809643319871663,0.010377078348364929,0.009879725569594672,0.00886867833825965,15.0,0.017185348794404566,0.9836186269096263,0.0,0,0,unripe,IMG20200713142139.jpg
192,3607,3.360569442762244,163.06210146936513,218.0,91.93789853063488,1.6868636253925215,0.7445853591968815,1692,110.70875106405286,0.0065013354992151055,0.007962757648315678,0.007215111921246374,0.006271594193843863,12.0,0.013767306182719237,0.5515545079332544,0.0,0,0,unripe,IMG20200713142211.jpg
215,3911,3.462961979138997,148.23139861927896,220.0,106.76860138072104,1.6809188962036044,0.7476985195874688,1859,102.57773553766698,0.006332539213776499,0.007713654446531308,0.007350901188540374,0.006690153438343227,12.0,0.013267734266137345,0.3196444066656041,0.0,0,0,unripe,IMG20200713142220.jpg
177,4573,4.335994538524264,142.2965230701946,229.0,112.70347692980538,1.6229607298997772,0.7151293733908174,1655,117.72658913278096,0.007167926621087438,0.008042551023785009,0.007352578639784665,0.0060648483313830714,13.0,0.014594946127048472,0.47598278118066484,0.0,0,0,unripe,IMG20200713142228.jpg
127,5489,4.729531785831222,166.85370741482967,232.0,88.14629258517034,1.6618835211426264,0.6914720495686887,1461,128.347959729347,0.005452953036666251,0.006618800133401859,0.00620555172042106,0.005545030054276444,11.0,0.010652516878815495,0.8521601268331352,0.0,0,0,unripe,IMG20200713142241.jpg
170,4957,4.060119583913506,160.43030058503126,229.0,94.56969941496872,1.7504567089372158,0.6970455828300397,1971,116.61672836400285,0.006295420125622532,0.0074425648709807455,0.0068213901991298585,0.006645049698149389,12.0,0.013434480188995903,0.7764763698910639,0.0,0,0,unripe,IMG20200713142258.jpg
168,6746,5.7006684299923105,159.7927660836051,237.0,95.2072339163949,1.705810490550446,0.7225590588312474,2080,124.85772224311928,0.006560923464343359,0.007711608604671238,0.006977049758358771,0.006424423965653427,12.0,0.014068031363402659,1.5227697169946848,1.5227697169946848,1,7,unripe,IMG20200713142856.jpg
127,3630,3.317461913161093,166.63388429752067,230.0,88.36611570247933,1.695307835532463,0.7157194383516983,1241,108.18840746800424,0.006044722748312822,0.007026790390990294,0.00639329547631374,0.00594401440308533,11.0,0.013222360621531766,0.3911497792928232,0.0,0,0,unripe,IMG20200713142909.jpg
194,5430,4.384760735799997,168.19447513812156,230.0,86.80552486187845,1.7867476839405825,0.7092448146010286,2300,116.66722337733756,0.006674817733097858,0.0074949910841773364,0.007227912240818098,0.006291141272801372,12.0,0.01358302070161872,0.3811431063163165,0.0,0,0,unripe,IMG20200713142917.jpg
267,6686,6.0369112973129155,152.89425665569848,228.0,102.10574334430153,1.6162183411277353,0.7066674941131659,2751,111.33672624257154,0.007673848938593062,0.009609457767504576,0.008951425123646682,0.006911502682552362,14.0,0.015680432097716288,0.9137532505056343,0.0,0,0,unripe,IMG20200713142946.jpg
240,9934,8.738871881487736,156.60891886450574,233.0,98.39108113549426,1.6416855607381862,0.7134540416981281,3080,112.76944577559566,0.007334398624504871,0.00842990984352501,0.007809225945911633,0.006648203459574481,14.0,0.014402301967269895,0.8770540835356628,0.0,0,0,unripe,IMG20200713143028.jpg
265,6719,6.088808337109198,152.33903854740288,233.0,102.6609614525971,1.6037921059055071,0.6961183158455136,2793,111.6696552501294,0.00741370150234992,0.009315991008999883,0.009199712145846108,0.007334808141652667,14.0,0.016001847952592907,0.8817399184413232,0.0,0,0,unripe,IMG20200713143043.jpg
243,5034,4.420636663007684,158.18096940802542,235.0,96.81903059197457,1.6084734892328583,0.7269170729212552,2160,126.05962852799902,0.007033890790125051,0.008453920492456038,0.008079516153332902,0.006831811626955942,13.0,0.01434748283506597,0.3363336992316136,0.0,0,0,unripe,IMG20200713143050.jpg
146,5229,4.347320025606704,149.89194874737044,227.0,105.10805125262956,1.6347064844807204,0.7127520932312479,1773,113.99072981071726,0.006494367519457297,0.007223672801483976,0.006194774947748989,0.005525590321096136,12.0,0.012836248973196913,1.1739177426193663,1.1739177426193663,1,6,unripe,IMG20200713143109.jpg
166,3717,3.3700530395756836,160.47726661285984,224.0,94.52273338714016,1.6988238134316127,0.7491174559530148,1503,101.63385853363057,0.006522614485750781,0.0076688453159041384,0.0065115923517056334,0.0062808030869086345,12.0,0.013436976948628854,0.5177025250464663,0.0,0,0,unripe,IMG20200713143206.jpg
158,4580,4.348816893919253,158.75152838427948,233.0,96.24847161572052,1.7563702809316566,0.7115726911631036,1842,129.5404735130383,0.0060687201691417576,0.006998173191567637,0.006296047227429083,0.006876820385186246,11.0,0.01301748091085726,0.8441262486231912,0.0,0,0,unripe,IMG20200713143223.jpg
