HLS_H_Mean,HLS_H_Std,HLS_H_Min,HLS_H_Max,HLS_H_Median,HLS_H_Q25,HLS_H_Q75,HLS_L_Mean,HLS_L_Std,HLS_L_Min,HLS_L_Max,HLS_L_Median,HLS_L_Q25,HLS_L_Q75,HLS_S_Mean,HLS_S_Std,HLS_S_Min,HLS_S_Max,HLS_S_Median,HLS_S_Q25,HLS_S_Q75,Image_Name,Label
24.748407909588774,2.3014670865469165,15,43,24.0,23.0,25.0,74.11898524268057,25.511793863916157,22,192,72.0,53.0,93.0,157.01389334039382,60.30181855051431,4,255,154.0,126.0,200.0,image_0_1014.jpg,overripe
25.048285280305457,10.834391278933232,0,175,24.0,23.0,25.0,89.34017781246081,38.39027412124083,0,241,90.0,63.0,117.0,161.9669109962236,62.36333058795716,0,255,163.0,135.0,202.0,image_0_1014.jpg,overripe
25.137950976156965,13.606190659908867,0,175,24.0,23.0,25.0,86.06774571145887,41.14367709483151,0,192,88.0,60.0,116.0,157.84305542007496,66.94106365620004,0,255,162.0,130.0,202.0,image_0_1014.jpg,overripe
24.76393862961776,2.2821068334800767,13,40,24.0,23.0,25.0,94.98554925377294,32.19018001839366,30,242,94.0,68.0,118.0,160.29681860620673,60.450100180958366,7,255,162.0,133.0,199.0,image_0_1014.jpg,overripe
25.229295857081144,2.4872931382715273,0,42,25.0,24.0,26.0,133.3830423210379,34.12295894718831,61,255,133.0,104.0,162.0,162.37903596661138,66.34118638516169,0,255,170.0,128.0,206.0,image_0_1014.jpg,overripe
25.966282333308047,10.420814689028191,0,174,25.0,24.0,26.0,76.19252067056057,34.70592791354227,0,239,74.0,51.0,99.0,187.43612986421908,49.91801083639071,0,255,184.0,157.0,233.0,image_0_107.jpg,overripe
25.42171736327088,1.6762466105416483,14,36,25.0,24.0,26.0,81.86005967281095,30.21367054650042,33,233,78.0,58.0,101.0,169.70110495840603,41.257346564231234,7,237,168.0,146.0,203.0,image_0_107.jpg,overripe
25.42489064198842,1.6580713732996817,13,35,25.0,24.0,26.0,81.75895724291385,32.17719921730594,30,242,78.0,56.0,102.0,184.59820728716275,47.673431489791035,8,255,180.0,155.0,224.0,image_0_107.jpg,overripe
25.512642544691396,11.7348461986412,0,172,25.0,24.0,26.0,73.4241953020304,36.26687820121751,0,237,72.0,48.0,98.0,183.6704467875294,56.831916687373365,0,255,183.0,155.0,232.0,image_0_107.jpg,overripe
22.55778907178437,14.007904030717784,0,172,25.0,24.0,26.0,68.9728311714582,43.560158147816054,0,242,70.0,42.0,100.0,158.14843611722168,75.5858013006326,0,255,168.0,140.0,209.0,image_0_107.jpg,overripe
23.561542799344785,2.102087157894148,16,39,23.0,23.0,24.0,98.19227705224715,34.68545397805007,31,185,96.0,72.0,124.0,175.15001924471218,57.89315374995795,9,255,184.0,154.0,212.0,image_0_1113.jpg,overripe
23.72468425245482,7.127122163785079,0,177,23.0,23.0,24.0,95.22558383086135,38.03895973760816,0,182,94.0,68.0,123.0,178.49021204987514,55.974444819372685,0,255,186.0,157.0,215.0,image_0_1113.jpg,overripe
19.950026405535315,15.78210617547124,0,174,23.0,21.0,24.0,70.21911223695163,53.65739422274798,0,182,75.0,10.0,110.0,135.5222656844404,91.31962217692038,0,255,169.0,37.0,206.0,image_0_1113.jpg,overripe
24.1280534197406,11.201998102121692,0,176,23.0,22.0,24.0,92.75817005164744,40.79949467182952,0,182,94.0,65.0,122.0,177.68884433265603,60.03869383151759,0,255,187.0,157.0,217.0,image_0_1113.jpg,overripe
23.54693472014608,2.1003683617693008,15,40,23.0,23.0,24.0,93.76148193234812,30.453025725383853,34,170,92.0,70.0,116.0,153.35345823002353,49.916937840117896,8,231,160.0,137.0,187.0,image_0_1113.jpg,overripe
22.694777642066917,11.737417286543018,0,174,23.0,22.0,24.0,88.38353301657006,47.209894737229625,0,227,90.0,60.0,122.0,161.09233908261027,65.37554457228467,0,255,167.0,141.0,202.0,image_0_1156.jpg,overripe
23.634519665915942,2.348456420564481,0,172,23.0,22.0,24.0,100.39213222160251,36.14903114852775,29,229,98.0,72.0,126.0,166.94351917876887,50.09481469528055,0,255,167.0,144.0,198.0,image_0_1156.jpg,overripe
33.21164775735839,38.915341863972415,0,179,22.0,20.0,24.0,70.48810725707952,27.720454935104932,5,190,68.0,53.0,83.0,163.56465289005303,60.015290245331684,0,255,174.0,122.0,211.0,image_0_1156.jpg,overripe
30.26363835330166,34.01099466616167,0,179,22.0,20.0,24.0,70.21591205936134,27.85790751755472,6,189,68.0,52.0,84.0,167.76590111620223,58.573821616550894,0,255,177.0,133.0,214.0,image_0_1156.jpg,overripe
24.00840152215813,9.2942430624341,0,175,23.0,22.0,24.0,94.84415529401798,39.57432850212705,0,225,94.0,68.0,123.0,170.36529677141505,50.48981130904577,0,255,169.0,146.0,202.0,image_0_1156.jpg,overripe
20.692537149486995,8.12165611776925,0,170,21.0,18.0,26.0,133.20431617139738,71.42171697456459,0,237,132.0,76.0,204.0,68.24188958647275,59.59294241283109,0,255,51.0,22.0,107.0,image_0_116.jpg,overripe
22.571949348317847,5.3673032289188525,0,55,22.0,19.0,26.0,170.696855380454,64.44222231678589,38,254,187.0,110.0,231.0,102.89600546472472,70.70955317249967,7,255,93.0,36.0,155.0,image_0_116.jpg,overripe
22.338383855720284,5.423682313676416,0,55,22.0,18.0,26.0,168.7410777727814,63.49920775664061,39,253,185.0,110.0,228.0,94.65778877740514,64.40567737966228,6,255,87.0,34.0,138.0,image_0_116.jpg,overripe
22.177943382431184,5.45957620201857,0,55,21.0,19.0,26.0,149.7947501570422,63.22241675813425,4,238,167.0,92.0,208.0,73.79003030999955,57.99586945008549,4,255,56.0,29.0,110.0,image_0_116.jpg,overripe
22.281381833909442,5.426601646849274,0,55,22.0,19.0,26.0,151.770261874277,60.364879822211755,29,238,167.0,96.0,208.0,71.62117649481847,55.77359445330104,4,255,55.0,29.0,106.0,image_0_116.jpg,overripe
21.23908528964045,8.805799388841386,0,174,22.0,21.0,23.0,105.80155337350512,53.49099249226034,0,239,106.0,70.0,142.0,127.82022887212634,76.47952499127496,0,255,146.0,47.0,180.0,image_0_1338.jpg,overripe
30.486769090104417,35.620667946831496,0,179,22.0,20.0,23.0,82.93968883895786,40.69379101475889,6,195,74.0,55.0,106.0,133.0168760365145,78.17378363445364,3,255,148.0,62.0,201.0,image_0_1338.jpg,overripe
17.89853951764689,13.995160995703031,0,172,22.0,17.0,22.0,73.59068073165156,55.46745569320293,0,195,81.0,2.0,117.0,114.26057670328815,88.61278359790144,0,255,139.0,19.0,181.0,image_0_1338.jpg,overripe
22.086447132289646,2.8963849301593245,5,43,22.0,21.0,23.0,119.16573046003006,47.68599373982804,31,239,113.0,84.0,149.0,126.47642947810735,71.3627693512499,5,255,144.0,50.0,176.0,image_0_1338.jpg,overripe
21.395259146860425,5.977871403774571,0,40,22.0,21.0,24.0,154.28059450337278,51.100713780546236,57,255,150.0,116.0,184.0,141.21240461634983,79.69891380772374,0,255,149.0,68.0,201.0,image_0_1338.jpg,overripe
25.94544939466909,13.529897717320582,0,174,24.0,23.0,28.0,80.8179507903047,35.591137592166184,0,209,84.0,58.0,108.0,151.73524584017264,61.32224714100274,0,255,148.0,123.0,190.0,image_0_1358.jpg,overripe
25.206279110459352,3.6650691121555616,6,41,24.0,22.0,27.0,71.41237491355392,24.913584826142422,20,189,68.0,51.0,90.0,166.90431355557962,52.605851207509126,2,255,171.0,143.0,204.0,image_0_1358.jpg,overripe
25.47318296574652,3.3037256634490784,6,40,25.0,23.0,27.0,87.63336027396119,28.264874608898694,29,210,87.0,65.0,110.0,151.1260571419049,55.05942802183992,3,255,147.0,123.0,184.0,image_0_1358.jpg,overripe
